customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1248.0,Female,1,Yes,No,54.0,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,46.64,2493.62,Yes
1308.0,Male,0,Yes,Yes,14.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),63.24,881.18,No
1586.5874715473644,Male,1,No,No,14.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,69.14723693435636,1053.8625896673404,Yes
1302.0316078327276,Male,0,Yes,Yes,22.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,70.22417989902594,1502.412822704652,Yes
1084.0,Female,0,No,No,71.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,66.39,4713.89,No
1347.0,Female,0,No,No,26.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.56,1644.11,No
1534.9521094822064,Male,1,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.343512795669692,1737.2031315347162,Yes
1089.0,Female,1,Yes,No,12.0,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,45.45,588.7,No
1194.0,Female,0,Yes,No,65.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.61,3028.33,Yes
1040.0,Male,1,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),51.47,2681.4,No
1513.0,Female,0,No,No,71.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,52.39,3720.78,No
1311.0,Female,0,No,Yes,70.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),51.24,3570.26,No
1114.9156340489053,Male,1,No,Yes,16.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),66.35827320322053,1049.1724684494443,Yes
1512.0,Female,0,No,No,11.0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),44.56,494.39,No
1421.0,Female,0,No,No,3.0,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,52.67,162.66,Yes
1321.0,Male,1,No,No,44.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.98,861.63,No
1569.6059947150986,Male,0,Yes,No,36.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.43251453394285,2256.8400912482266,Yes
